id	hh:mm:ss	Y/N	Rating	Facit
I2		N	4	
S1S1	00:01:35	N		T
S1S2	00:00:27	Y		T
A1S1	00:01:12	N		T
A1S2	00:00:23	Y		T
D1S1	00:00:27	Y		T
D1S2	00:01:09	Y		T
S3S1	00:00:13	Y		T
S3S2	00:00:11	N		T
A3S1	00:00:09	N		T
A3S2	00:00:09	Y		T
D3S1	00:00:07	Y		T
D3S2	00:01:11	N		T
S2S1	00:00:11	Y		F
S2S2	00:00:13	N		T
A2S1	00:00:19	N		F
A2S2	00:00:13	Y		T
D2S1	00:01:18	N		T
D2S2	00:00:10	N		T
S1L1	00:00:21	Y		T
S1L2	00:02:05	N		T
A1L1	00:01:18	N		T
A1L2	00:00:31	N		T
D1L1	00:01:10	N		F
D1L2	00:00:09	N		T
S3L1	00:00:18	N		T
S3L2	00:00:09	Y		T
A3L1	00:01:26	N		F
A3L2	00:00:21	N		T
D3L1	00:00:12	N		T
D3L2	00:01:14	N		T
S2L1	00:00:13	N		T
S2L2	00:00:10	Y		T
A2L1	00:01:53	Y		T
A2L2	00:00:21	Y		F
D2L1	00:00:47	Y		T
D2L2	00:01:20	N		T
